iter	Passed	Remaining
0	136	136009
1	228	114232
2	359	119388
3	446	111212
4	506	100744
5	641	106353
6	730	103613
7	823	102134
8	897	98856
9	1017	100757
10	1093	98321
11	1181	97282
12	1271	96498
13	1339	94366
14	1408	92502
15	1526	93882
16	1609	93054
17	1684	91899
18	1794	92645
19	1918	93982
20	1984	92533
21	2087	92788
22	2161	91797
23	2242	91187
24	2291	89370
25	2399	89882
26	2479	89347
27	2546	88397
28	2612	87488
29	2692	87068
30	2818	88099
31	2912	88094
32	3045	89243
33	3162	89846
34	3210	88511
35	3418	91530
36	3492	90897
37	3634	92000
38	3732	91967
39	3803	91272
40	3877	90704
41	3976	90696
42	4085	90924
43	4178	90782
44	4266	90547
45	4384	90940
46	4421	89655
47	4595	91151
48	4678	90802
49	4789	91006
50	4910	91381
51	4986	90913
52	5088	90914
53	5185	90843
54	5279	90719
55	5353	90248
56	5414	89576
57	5548	90120
58	5611	89503
59	5691	89172
60	5820	89601
61	5915	89497
62	6056	90071
63	6154	90015
64	6259	90043
65	6358	89981
66	6475	90175
67	6560	89914
68	6695	90344
69	6788	90193
70	6864	89813
71	6999	90220
72	7085	89981
73	7174	89784
74	7305	90100
75	7404	90024
76	7450	89311
77	7565	89427
78	7704	89815
79	7774	89411
80	7880	89410
81	7956	89073
82	8051	88951
83	8176	89160
84	8278	89110
85	8370	88955
86	8534	89560
87	8636	89503
88	8749	89555
89	8845	89434
90	8942	89330
91	9052	89345
92	9132	89063
93	9247	89127
94	9301	88611
95	9422	88729
96	9544	88856
97	9642	88751
98	9738	88628
99	9853	88679
100	9983	88865
101	10065	88612
102	10147	88368
103	10237	88196
104	10352	88245
105	10466	88276
106	10681	89142
107	10792	89139
108	10894	89056
109	10994	88958
110	11142	89239
111	11263	89305
112	11354	89128
113	11460	89070
114	11560	88965
115	11657	88839
116	11761	88762
117	11851	88587
118	11944	88430
119	12077	88565
120	12162	88353
121	12243	88114
122	12374	88229
123	12474	88129
124	12553	87877
125	12670	87888
126	12744	87607
127	12834	87437
128	12963	87529
129	13078	87523
130	13275	88066
131	13360	87852
132	13539	88264
133	13668	88334
134	13834	88640
135	13921	88440
136	14034	88409
137	14147	88367
138	14241	88214
139	14342	88106
140	14457	88080
141	14543	87877
142	14645	87769
143	14753	87703
144	14868	87671
145	14987	87665
146	15086	87540
147	15180	87392
148	15272	87225
149	15389	87204
150	15481	87042
151	15566	86844
152	15739	87133
153	15816	86889
154	15886	86607
155	15993	86527
156	16056	86212
157	16147	86051
158	16268	86051
159	16360	85891
